feature,importance
local_disk_space_usage,0.009795984
memory,0.009643827
cpu,0.008235932
cycles_per_instruction,0.0076611247
assigned_memory_usage,0.007390687
memory_accesses_per_instruction,0.0072404533
max_disk_io_time,0.0062143607
disk_io_time,0.0057312055
max_memory_usage,0.0054490976
aggregation_type,0.005440067
unmapped_page_cache,0.0046924693
max_cpu_rate,0.00425705
sampled_cpu_usage,0.0042024814
canonical_memory_usage,0.0038990395
total_page_cache,0.0035447844
sample_portion,0.0030031756
max_local_disk_space_usage,0.0028856767
padding_29,0.0
padding_20,0.0
padding_21,0.0
padding_22,0.0
padding_23,0.0
padding_24,0.0
padding_25,0.0
padding_26,0.0
padding_27,0.0
padding_28,0.0
padding_30,0.0
padding_40,0.0
padding_31,0.0
padding_32,0.0
padding_33,0.0
padding_34,0.0
padding_35,0.0
padding_18,0.0
padding_36,0.0
padding_37,0.0
padding_38,0.0
padding_39,0.0
padding_19,0.0
padding_10,0.0
padding_17,0.0
padding_4,0.0
cpu_request,0.0
memory_request,0.0
disk_space_request,0.0
priority,0.0
scheduling_class,0.0
padding_0,0.0
padding_1,0.0
padding_2,0.0
padding_3,0.0
padding_5,0.0
padding_16,0.0
padding_6,0.0
padding_7,0.0
padding_8,0.0
padding_9,0.0
padding_11,0.0
padding_12,0.0
padding_13,0.0
padding_14,0.0
padding_15,0.0
padding_41,0.0
